id;street_address;city;province;state;zip_code;country
1;../fake-data/blob/hipster.txt;Lake Xavier;yuck;pish;80192;Democratic People's Republic of Korea
2;../fake-data/blob/hipster.txt;Kshlerinton;across casserole;yuck near;41389;Zambia
3;../fake-data/blob/hipster.txt;Kirachester;honk scientist;smooth aside demilitarise;83750-1264;Liberia
4;../fake-data/blob/hipster.txt;Port Chauncey;instead fowl;beyond;28177;New Zealand
5;../fake-data/blob/hipster.txt;Fort Hayden;major;besides spanish hall;91438-8559;French Southern Territories
6;../fake-data/blob/hipster.txt;Luigiview;now bull;platypus boohoo;57024-8970;Wallis and Futuna
7;../fake-data/blob/hipster.txt;South Ovafort;duh structure pianist;farm lively;39465;Belgium
8;../fake-data/blob/hipster.txt;Cummingsfort;hmph;gah;81411;Russian Federation
9;../fake-data/blob/hipster.txt;Minot;gosh consequently anterior;network pine where;73051;Vietnam
10;../fake-data/blob/hipster.txt;Humbertoport;scarce never;belief calendar;15473;Saint Martin
