id;type;sub_type;inception;expiry;currency;total_sum_insured;limit_of_liability;uuid;status;active;insured_id;insurer_id;broker_id;class_of_business_id;sub_class_of_business_id;country_id
1;FACULTATIVE;PROPORTIONAL;2024-06-07T08:21:39;2024-06-06T12:20:26;once predecease;8074.16;31815.67;e219bdd9-688b-4f93-96b0-40fd4056a9ec;CREATED_SHARE_FINALISED;true;1;1;1;1;1;1
2;FACULTATIVE;NON_PROPORTIONAL;2024-06-07T07:00:16;2024-06-07T05:45:08;crossly upbeat voluntarily;7570.07;17325.05;78d97b12-8327-48e6-ba27-ed4136e0c83c;UPDATE_CREATED;true;2;2;2;2;2;2
3;TREATY;NON_PROPORTIONAL;2024-06-07T11:22:23;2024-06-06T16:28:04;able medicine read;17513.98;10055.83;f373598a-009f-41df-8bbd-baee1d4455ec;CREATED_PLACEMENT;true;3;3;3;3;3;3
4;FACULTATIVE;PROPORTIONAL;2024-06-07T10:44:11;2024-06-07T11:17:38;as gee sardonic;2901.56;15912.02;03c6400e-389c-4b3c-938a-39b8a8ce795b;UPDATE_APPROVED;false;4;4;4;4;4;4
5;FACULTATIVE;PROPORTIONAL;2024-06-07T00:29:21;2024-06-07T09:25:58;about versus through;8718.66;13986.08;ea9e0013-691a-42c7-8f28-c7c4c58cb2a5;CREATED_SHARE;true;5;5;5;5;5;5
6;TREATY;PROPORTIONAL;2024-06-07T10:16:08;2024-06-07T05:22:45;kitchen indeed;12429.16;1642.55;c62ddd33-f058-45b9-9803-f08f985485a0;CREATED_PLACEMENT;true;6;6;6;6;6;6
7;TREATY;PROPORTIONAL;2024-06-07T04:59:08;2024-06-06T14:24:29;that uselessly hydrogen;22964.94;24449.27;784750f3-f22c-4c90-9491-a20d0b21c3f5;UPDATE_APPROVED;true;7;7;7;7;7;7
8;TREATY;NON_PROPORTIONAL;2024-06-07T03:53:15;2024-06-06T18:12:57;over nod selfishly;10801.53;8450.07;c90215f5-5a9d-4149-80ef-dfa22ec508fa;CREATED_APPROVED;true;8;8;8;8;8;8
9;FACULTATIVE;NON_PROPORTIONAL;2024-06-07T03:34:52;2024-06-06T21:05:04;uneven plenty which;26630.74;18745.18;956e4647-2dd7-4c46-ad78-1e9b913471ae;CREATED;true;9;9;9;9;9;9
10;TREATY;NON_PROPORTIONAL;2024-06-06T21:09:41;2024-06-07T08:01:24;ordinary apud pace;28386.46;27746.74;0e3824ad-832f-44f1-ab38-dd995a5e3512;CREATED_PLACEMENT;true;10;10;10;10;10;10
