id;contract_created_date;contract_active_date;contract_in_active_date;contract_last_modified_date;change_description;updated_id
1;2024-06-07T08:31:40;2024-06-06T14:06:59;2024-06-07T10:31:22;2024-06-07T00:18:28;../fake-data/blob/hipster.txt;1
2;2024-06-07T02:26:26;2024-06-06T17:48:37;2024-06-06T20:56:58;2024-06-06T19:12:28;../fake-data/blob/hipster.txt;2
3;2024-06-07T00:09:46;2024-06-06T23:30:01;2024-06-07T02:27:20;2024-06-06T19:08:59;../fake-data/blob/hipster.txt;2
4;2024-06-06T14:54:02;2024-06-06T20:12:36;2024-06-07T03:57:27;2024-06-06T15:36:39;../fake-data/blob/hipster.txt;1
5;2024-06-06T14:05:09;2024-06-07T01:10:20;2024-06-06T21:16:37;2024-06-07T07:08:58;../fake-data/blob/hipster.txt;2
6;2024-06-07T06:06:38;2024-06-07T01:24:54;2024-06-06T12:22:09;2024-06-06T17:30:08;../fake-data/blob/hipster.txt;1
7;2024-06-07T10:03:38;2024-06-07T00:52:07;2024-06-06T20:39:38;2024-06-06T20:45:24;../fake-data/blob/hipster.txt;1
8;2024-06-07T08:46:14;2024-06-06T18:10:37;2024-06-06T17:25:25;2024-06-06T14:19:37;../fake-data/blob/hipster.txt;1
9;2024-06-06T17:47:50;2024-06-07T00:26:54;2024-06-07T01:58:57;2024-06-07T04:21:09;../fake-data/blob/hipster.txt;1
10;2024-06-06T17:20:03;2024-06-07T11:25:21;2024-06-07T05:09:36;2024-06-07T09:22:32;../fake-data/blob/hipster.txt;2
