id;message;notification_date;due_date;notification_status
1;ah yippee;2024-06-07T07:24:42;2024-06-07T05:31:31;IN_PROGRESS
2;adapt unethically;2024-06-07T08:30:46;2024-06-06T18:22:29;DONE
3;consequence;2024-06-06T14:17:02;2024-06-07T00:30:56;TODO
4;speedily;2024-06-07T08:51:30;2024-06-07T03:39:27;DONE
5;well;2024-06-06T12:16:46;2024-06-07T08:55:24;IN_PROGRESS
6;delightfully redound gee;2024-06-07T08:12:05;2024-06-06T20:24:35;IN_PROGRESS
7;gamble inoculate until;2024-06-06T19:42:10;2024-06-07T09:01:30;DONE
8;immense nephew;2024-06-06T16:21:15;2024-06-07T10:57:58;IN_PROGRESS
9;till whelp;2024-06-06T23:53:13;2024-06-06T18:12:50;IN_PROGRESS
10;across about;2024-06-07T10:44:32;2024-06-06T17:34:53;TODO
