id;ri_percentage_commission;ri_percentage_share;ri_total_sum_insured;ri_limit_of_liability;gross_premium_hundred;ri_premium;ri_commission;net_due_from_insurer;contract_id
1;87.79;44.16;6385.43;9732.03;26071.25;13024.19;14825.28;25298.81;1
2;33.11;52.23;26864.28;15166.98;3369.74;2627.62;4573.85;11817.4;2
3;55.63;74.81;24047.5;3573.59;7879.32;32347.57;28807.49;29549.99;3
4;1.27;90.83;25108.95;9611.28;15637.35;12548.2;10757.54;5444.72;4
5;49;68.85;8826.16;1088.75;30899.85;27381.95;6168.72;20646.75;5
6;82.76;88.01;15603.38;13196.35;29333.12;18161.84;2714.49;22715.35;6
7;7.83;70.73;4518.56;15603.49;25930.25;17670.81;23093.76;3991.87;7
8;67.04;70.01;11081.59;22176.4;26448.51;20259.47;23799.67;30662.25;8
9;2.77;60.01;31007.22;24139.95;5810.39;8440.27;29024.93;21343.58;9
10;26.11;85.05;28602.28;32176.24;789.84;12492.59;1349.21;9187.92;10
