id;share_percentage;total_sum_insured;limit_of_liability;gross_premium;ri_commission;net_premium;brokerage;brokerage_amount;net_payable;re_insurer_id
1;14.98;13167.51;5729.75;12690.47;19210.77;8112.95;61.42;16032.55;2219.61;1
2;20.85;5049.1;27774.41;20847.02;25704.77;11909.14;17.18;17613.54;7730.04;2
3;5.44;21181.7;21331.49;14891.98;8453.45;30127.24;29.9;3387.69;20673.31;3
4;17.22;13548.97;2160.52;24060.97;29412.18;26280.65;95.2;2226.64;29168.83;4
5;29.6;23299.71;3624.71;13928.93;23022.09;22681.95;84.76;25770.26;21669.65;5
6;18.62;24342.74;19981.03;32562;7319.15;17820.57;86.98;15559.93;27583.75;6
7;72.7;11071.54;8418.47;31738.28;13616.75;22428.5;49.06;22753.81;2209.48;7
8;86.53;5321.89;13963.6;11300.72;23159.45;16429.09;96.4;9796.22;5364.53;8
9;80.5;7168.54;23995.78;5154.16;6042.27;24035.12;75.6;3994.35;25290.1;9
10;19.6;22458.23;4823.34;497.3;30860.62;11329.21;90.95;13528.94;13546.52;10
